No.,Time,Source,Destination,Protocol,Length,Info
63,0.005328,192.168.1.10,192.168.1.50,CIP,124,'HMI_PLANT' - Service (0x4d)
64,0.005429,192.168.1.10,192.168.1.60,TCP,60,64520  >  44818 [ACK] Seq=1 Ack=51 Win=8142 Len=0
65,0.00543,192.168.1.50,192.168.1.10,TCP,60,44818  >  64518 [ACK] Seq=1 Ack=71 Win=8122 Len=0
66,0.0056,192.168.1.10,192.168.1.40,CIP,128,'HMI_PLANT_AUTO' - Service (0x4d)
67,0.0056,192.168.1.10,192.168.1.40,CIP,124,'HMI_P4_PERMISSIVE' - Service (0x4c)
68,0.00569,192.168.1.20,192.168.1.40,CIP I/O,86,"Connection: ID=0x00E97436, SEQ=0020511108"
69,0.00569,192.168.1.40,192.168.1.10,TCP,60,44818  >  64516 [ACK] Seq=1 Ack=75 Win=8118 Len=0
70,0.00569,192.168.1.10,192.168.1.30,CIP,116,'HMI_FIT301' - Service (0x4c)
71,0.005785,192.168.1.40,192.168.1.10,TCP,60,44818  >  64516 [ACK] Seq=1 Ack=145 Win=8048 Len=0
72,0.005785,192.168.1.10,192.168.1.30,CIP,124,'HMI_PLANT' - Service (0x4d)
73,0.005785,192.168.1.30,192.168.1.10,TCP,60,44818  >  64514 [ACK] Seq=1 Ack=63 Win=8130 Len=0
74,0.005862,192.168.1.10,192.168.1.30,CIP CM,124,Unconnected Send: 'HMI_LIT301' - Service (0x4c)
75,0.005862,192.168.1.30,192.168.1.10,TCP,60,44818  >  64514 [ACK] Seq=1 Ack=133 Win=8060 Len=0
76,0.005948,192.168.1.30,192.168.1.10,TCP,60,44818  >  64514 [ACK] Seq=1 Ack=203 Win=7990 Len=0
77,0.0065,192.168.1.40,192.168.1.50,CIP I/O,86,"Connection: ID=0x00975C3D, SEQ=0007666185"
78,0.007005,192.168.1.20,192.168.1.30,CIP,104,Success: 'P2_P2078_AUTOINP' - Service (0x4d)
79,0.007006,192.168.1.50,192.168.1.20,CIP,144,Success: 'HMI_AIT502' - Service (0x4c)
80,0.007078,192.168.1.10,239.192.2.63,CIP I/O,98,"Connection: ID=0x00708000, SEQ=0011938368"
81,0.007078,192.168.1.30,192.168.1.20,TCP,60,56706  >  44818 [ACK] Seq=217 Ack=51 Win=8142 Len=0
82,0.007078,192.168.1.50,192.168.1.10,CIP,104,Success: 'HMI_PLANT' - Service (0x4d)
83,0.007165,192.168.1.20,192.168.1.50,TCP,60,56790  >  44818 [ACK] Seq=125 Ack=271 Win=8102 Len=0
84,0.007175,192.168.1.10,192.168.1.50,TCP,60,64518  >  44818 [ACK] Seq=71 Ack=51 Win=8142 Len=0
85,0.007176,192.168.1.50,192.168.1.40,CIP,128,'HMI_RO_HPP_SD' - Service (0x4d)
86,0.007294,192.168.1.20,192.168.1.30,CIP,146,Success: 'HMI_FIT201' - Service (0x4c)
87,0.007294,192.168.1.50,192.168.1.40,CIP,116,'HMI_UV401' - Service (0x4c)
88,0.007295,192.168.1.40,192.168.1.50,TCP,60,44818  >  58830 [ACK] Seq=1 Ack=75 Win=8118 Len=0
89,0.007295,192.168.1.20,192.168.1.30,CIP,110,Success: 'HMI_MV201' - Service (0x4c)
90,0.007395,192.168.1.30,192.168.1.20,TCP,60,56706  >  44818 [ACK] Seq=217 Ack=143 Win=8100 Len=0
91,0.007395,192.168.1.40,192.168.1.50,TCP,60,44818  >  58830 [ACK] Seq=1 Ack=137 Win=8056 Len=0
92,0.007395,192.168.1.30,192.168.1.20,TCP,60,56706  >  44818 [ACK] Seq=217 Ack=199 Win=8044 Len=0
93,0.007477,192.168.1.10,192.168.1.60,CIP I/O,86,"Connection: ID=0x00D96810, SEQ=0011736616"
94,0.007583,192.168.1.50,192.168.1.40,CIP CM,124,Unconnected Send: 'HMI_FIT401' - Service (0x4c)
95,0.007673,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT503' - Service (0x4c)
96,0.007673,192.168.1.30,192.168.1.40,CIP,148,Success: Service (0x4c)
97,0.007674,192.168.1.40,192.168.1.50,TCP,60,44818  >  58830 [ACK] Seq=1 Ack=207 Win=8122 Len=0
98,0.007674,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT504' - Service (0x4c)
99,0.007674,192.168.1.30,192.168.1.40,CIP,148,Success: 'HMI_P302' - Service (0x4c)
100,0.007777,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=271 Ack=187 Win=8130 Len=0
101,0.007777,192.168.1.40,192.168.1.30,TCP,60,55874  >  44818 [ACK] Seq=61 Ack=157 Win=8098 Len=0
102,0.007778,192.168.1.20,192.168.1.10,CIP,104,Success: 'HMI_PLANT_AUTO' - Service (0x4d)
103,0.007778,192.168.1.40,192.168.1.30,TCP,60,55874  >  44818 [ACK] Seq=61 Ack=251 Win=8004 Len=0
104,0.007778,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=271 Ack=249 Win=8068 Len=0
105,0.007917,192.168.1.10,192.168.1.20,TCP,60,64512  >  44818 [ACK] Seq=277 Ack=51 Win=8142 Len=0
106,0.007917,192.168.1.20,192.168.1.10,CIP,152,Success: 'HMI_FIT201' - Service (0x4c)
107,0.007917,192.168.1.30,192.168.1.10,CIP,152,Success: 'HMI_FIT301' - Service (0x4c)
108,0.007995,192.168.1.20,192.168.1.10,CIP,104,Success: 'HMI_PLANT' - Service (0x4d)
109,0.007995,192.168.1.30,192.168.1.10,CIP,104,Success: 'HMI_PLANT' - Service (0x4d)
110,0.008077,192.168.1.10,192.168.1.20,TCP,60,64512  >  44818 [ACK] Seq=277 Ack=149 Win=8094 Len=0
111,0.008077,192.168.1.10,192.168.1.30,TCP,60,64514  >  44818 [ACK] Seq=203 Ack=99 Win=8094 Len=0
112,0.008155,192.168.1.30,192.168.1.20,CIP,126,'HMI_P_NAOCL_UF_DUTY' - Service (0x4c)
113,0.008155,192.168.1.10,192.168.1.20,TCP,60,64512  >  44818 [ACK] Seq=277 Ack=199 Win=8044 Len=0
114,0.008155,192.168.1.20,192.168.1.30,CIP,116,'HMI_LIT301' - Service (0x4c)
115,0.008155,192.168.1.10,192.168.1.30,TCP,60,64514  >  44818 [ACK] Seq=203 Ack=149 Win=8044 Len=0
116,0.008237,192.168.1.20,192.168.1.30,CIP,116,'HMI_FIT301' - Service (0x4c)
117,0.008237,192.168.1.20,192.168.1.30,TCP,60,44818  >  56706 [ACK] Seq=199 Ack=289 Win=8120 Len=0
118,0.008237,192.168.1.30,192.168.1.20,TCP,60,44818  >  56784 [ACK] Seq=1 Ack=63 Win=8130 Len=0
119,0.008359,192.168.1.20,192.168.1.30,CIP,116,'HMI_MV301' - Service (0x4c)
120,0.008359,192.168.1.30,192.168.1.20,TCP,60,44818  >  56784 [ACK] Seq=1 Ack=125 Win=8068 Len=0
121,0.00844,192.168.1.30,192.168.1.20,TCP,60,44818  >  56784 [ACK] Seq=1 Ack=187 Win=8006 Len=0
122,0.00844,192.168.1.20,239.192.3.127,CIP I/O,98,"Connection: ID=0x0077802C, SEQ=0063280449"
123,0.00844,192.168.1.30,192.168.1.40,CIP,116,'HMI_LIT401' - Service (0x4c)
124,0.008595,192.168.1.30,192.168.1.10,CIP,138,Success: 'HMI_LIT301' - Service (0x4c)
125,0.008595,192.168.1.40,192.168.1.30,TCP,60,44818  >  63750 [ACK] Seq=93 Ack=63 Win=8130 Len=0
126,0.008595,192.168.1.20,192.168.1.40,CIP,116,'HMI_AIT402' - Service (0x4c)
127,0.008697,192.168.1.20,192.168.1.10,CIP,110,Success: 'HMI_MV201' - Service (0x4c)
128,0.008697,192.168.1.10,192.168.1.30,TCP,60,64514  >  44818 [ACK] Seq=203 Ack=233 Win=8108 Len=0
129,0.008698,192.168.1.40,192.168.1.20,TCP,60,44818  >  56800 [ACK] Seq=1 Ack=63 Win=8130 Len=0
130,0.008794,192.168.1.10,192.168.1.20,TCP,60,64512  >  44818 [ACK] Seq=277 Ack=255 Win=8136 Len=0
131,0.009306,192.168.1.10,192.168.1.20,CIP I/O,86,"Connection: ID=0x017746E2, SEQ=0011737145"
132,0.010246,192.168.1.40,239.192.5.255,CIP I/O,98,"Connection: ID=0x00698000, SEQ=0054038751"
133,0.010371,192.168.1.60,192.168.1.10,CIP,104,Success: Service (0x4d)
134,0.010478,192.168.1.10,192.168.1.60,TCP,60,64520  >  44818 [ACK] Seq=1 Ack=101 Win=8142 Len=0
135,0.010708,192.168.1.60,192.168.1.30,CIP,148,Success: 'HMI_P602' - Service (0x4c)
136,0.010851,192.168.1.30,192.168.1.20,CIP I/O,86,"Connection: ID=0x00774052, SEQ=0045615790"
137,0.010852,192.168.1.30,192.168.1.60,TCP,60,56704  >  44818 [ACK] Seq=197 Ack=95 Win=8098 Len=0
138,0.011322,192.168.1.20,192.168.1.30,CIP I/O,86,"Connection: ID=0x007674CB, SEQ=0020511539"
139,0.011768,192.168.1.30,239.192.4.191,CIP I/O,98,"Connection: ID=0x00769ECB, SEQ=0063280739"
140,0.011896,192.168.1.50,239.192.7.63,CIP I/O,98,"Connection: ID=0x001780AC, SEQ=0007751632"
141,0.012001,192.168.1.50,192.168.1.20,CIP,144,Success: 'HMI_AIT503' - Service (0x4c)
142,0.012001,192.168.1.50,192.168.1.20,CIP,144,Success: 'HMI_AIT504' - Service (0x4c)
143,0.01211,192.168.1.20,192.168.1.50,TCP,60,56790  >  44818 [ACK] Seq=249 Ack=361 Win=8102 Len=0
144,0.01211,192.168.1.50,192.168.1.40,CIP I/O,86,"Connection: ID=0x016954A5, SEQ=0007705693"
145,0.01211,192.168.1.20,192.168.1.50,TCP,60,56790  >  44818 [ACK] Seq=249 Ack=451 Win=8012 Len=0
146,0.012258,192.168.1.10,192.168.1.50,CIP I/O,86,"Connection: ID=0x011748B5, SEQ=0007618193"
147,0.012258,192.168.1.60,192.168.1.10,CIP I/O,86,"Connection: ID=0x0070401D, SEQ=0011822557"
148,0.012347,192.168.1.20,192.168.1.30,CIP,112,Success: 'HMI_P_NAOCL_UF_DUTY' - Service (0x4c)
149,0.012426,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT501' - Service (0x4c)
150,0.012426,192.168.1.30,192.168.1.20,TCP,60,56706  >  44818 [ACK] Seq=289 Ack=257 Win=8134 Len=0
151,0.012533,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=451 Ack=311 Win=8130 Len=0
152,0.012611,192.168.1.30,192.168.1.20,CIP,144,Success: 'HMI_LIT301' - Service (0x4c)
153,0.012777,192.168.1.20,192.168.1.30,TCP,60,56784  >  44818 [ACK] Seq=187 Ack=91 Win=8102 Len=0
154,0.012778,192.168.1.30,192.168.1.20,CIP,152,Success: 'HMI_FIT301' - Service (0x4c)
155,0.0129,192.168.1.20,192.168.1.30,TCP,60,56784  >  44818 [ACK] Seq=187 Ack=189 Win=8094 Len=0
156,0.012902,192.168.1.30,192.168.1.20,CIP,116,Success: 'HMI_MV301' - Service (0x4c)
157,0.013012,192.168.1.30,192.168.1.40,CIP I/O,86,"Connection: ID=0x0069685A, SEQ=0045614945"
158,0.013012,192.168.1.20,192.168.1.50,CIP I/O,86,"Connection: ID=0x001748B4, SEQ=0007708639"
159,0.013013,192.168.1.20,192.168.1.30,TCP,60,56784  >  44818 [ACK] Seq=187 Ack=251 Win=8130 Len=0
160,0.013013,192.168.1.30,192.168.1.20,CIP,130,'P2_P2078_AUTOINP' - Service (0x4d)
161,0.01319,192.168.1.20,192.168.1.30,TCP,60,44818  >  56706 [ACK] Seq=257 Ack=365 Win=8116 Len=0
162,0.013234,192.168.1.30,192.168.1.40,CIP CM,124,Unconnected Send: 'HMI_FIT401' - Service (0x4c)
163,0.013399,192.168.1.40,192.168.1.30,TCP,60,44818  >  63750 [ACK] Seq=93 Ack=133 Win=8122 Len=0
164,0.013922,192.168.1.40,192.168.1.10,CIP,104,Success: Service (0x4d)
165,0.014016,192.168.1.10,192.168.1.40,TCP,60,64516  >  44818 [ACK] Seq=145 Ack=51 Win=8142 Len=0
166,0.014284,192.168.1.40,192.168.1.200,CIP,594,Success: Service (0x4c)
167,0.014284,192.168.1.40,192.168.1.50,CIP,112,Success: Service (0x4c)
168,0.014421,192.168.1.40,192.168.1.50,CIP,116,'HMI_MV501' - Service (0x4c)
169,0.014421,192.168.1.50,192.168.1.40,TCP,60,58830  >  44818 [ACK] Seq=207 Ack=59 Win=8134 Len=0
170,0.014511,192.168.1.10,192.168.1.30,CIP I/O,86,"Connection: ID=0x00F65A5A, SEQ=0011735502"
171,0.014515,192.168.1.50,192.168.1.40,TCP,60,44818  >  55872 [ACK] Seq=125 Ack=63 Win=8130 Len=0
172,0.014515,192.168.1.40,192.168.1.50,CIP,116,'HMI_MV502' - Service (0x4c)
173,0.014668,192.168.1.50,192.168.1.40,TCP,60,44818  >  55872 [ACK] Seq=125 Ack=125 Win=8130 Len=0
174,0.014669,192.168.1.40,192.168.1.99,CIP,107,Success: 'CPS_ALID_P4_SA1' - Service (0x4c)
175,0.014669,192.168.1.10,192.168.1.40,CIP I/O,86,"Connection: ID=0x01E960F4, SEQ=0011735063"
176,0.014876,192.168.1.60,239.192.8.127,CIP I/O,98,"Connection: ID=0x0059807D, SEQ=0046026553"
177,0.014877,192.168.1.30,192.168.1.60,CIP I/O,86,"Connection: ID=0x00597285, SEQ=0045614247"
178,0.015029,192.168.1.10,192.168.1.50,CIP,128,'HMI_PLANT_AUTO' - Service (0x4d)
179,0.015029,192.168.1.60,192.168.1.20,CIP I/O,86,"Connection: ID=0x00F7464A, SEQ=0045398796"
180,0.015107,192.168.1.10,192.168.1.50,CIP,130,'HMI_PLANT_RESET' - Service (0x4d)
181,0.015107,192.168.1.50,192.168.1.10,TCP,60,44818  >  64518 [ACK] Seq=51 Ack=145 Win=8118 Len=0
182,0.015107,192.168.1.10,192.168.1.50,CIP,124,'HMI_P5_PERMISSIVE' - Service (0x4c)
183,0.015189,192.168.1.10,192.168.1.50,CIP,136,'HMI_SHUTDOWN_FLUSHING' - Service (0x4d)
184,0.015189,192.168.1.50,192.168.1.10,TCP,60,44818  >  64518 [ACK] Seq=51 Ack=221 Win=8042 Len=0
185,0.01519,192.168.1.50,192.168.1.10,TCP,60,44818  >  64518 [ACK] Seq=51 Ack=291 Win=7972 Len=0
186,0.01519,192.168.1.99,192.168.1.40,CIP,122,'CPS_ALID_P4_SD1' - Service (0x4c)
187,0.015309,192.168.1.50,192.168.1.10,TCP,60,44818  >  64518 [ACK] Seq=51 Ack=373 Win=7890 Len=0
188,0.015309,192.168.1.40,192.168.1.99,TCP,60,44818  >  48072 [ACK] Seq=124 Ack=137 Win=8124 Len=0
189,0.015399,192.168.1.10,192.168.1.50,CIP,130,'HMI_P5_SD_FLUSHING_DONE' - Service (0x4c)
190,0.0154,192.168.1.10,192.168.1.50,CIP,118,'HMI_P5_STATE' - Service (0x4c)
191,0.015536,192.168.1.50,192.168.1.10,TCP,60,44818  >  64518 [ACK] Seq=51 Ack=449 Win=8116 Len=0
192,0.015537,192.168.1.50,192.168.1.10,TCP,60,44818  >  64518 [ACK] Seq=51 Ack=513 Win=8052 Len=0
193,0.015537,192.168.1.60,192.168.1.30,CIP,104,Success: 'P6_P602_AUTOINP' - Service (0x4d)
194,0.015627,192.168.1.10,192.168.1.20,CIP,130,'HMI_PLANT_RESET' - Service (0x4d)
195,0.015627,192.168.1.30,192.168.1.60,TCP,60,56704  >  44818 [ACK] Seq=197 Ack=145 Win=8142 Len=0
196,0.015708,192.168.1.10,192.168.1.20,CIP,124,'HMI_P2_PERMISSIVE' - Service (0x4c)
197,0.015708,192.168.1.60,192.168.1.30,CIP,148,Success: 'HMI_P602' - Service (0x4c)
198,0.015708,192.168.1.20,192.168.1.10,TCP,60,44818  >  64512 [ACK] Seq=255 Ack=353 Win=8116 Len=0
199,0.015709,192.168.1.20,192.168.1.40,CIP I/O,86,"Connection: ID=0x00E97436, SEQ=0020511109"
200,0.015819,192.168.1.30,192.168.1.60,TCP,60,56704  >  44818 [ACK] Seq=197 Ack=239 Win=8098 Len=0
201,0.015819,192.168.1.60,192.168.1.10,CIP,116,'HMI_LIT101' - Service (0x4c)
202,0.01582,192.168.1.20,192.168.1.10,TCP,60,44818  >  64512 [ACK] Seq=255 Ack=423 Win=8046 Len=0
203,0.01582,192.168.1.10,192.168.1.60,CIP,130,'HMI_PLANT_RESET' - Service (0x4d)
204,0.015887,192.168.1.10,192.168.1.60,CIP,124,'HMI_P6_PERMISSIVE' - Service (0x4c)
205,0.015887,192.168.1.10,192.168.1.60,TCP,60,44818  >  54986 [ACK] Seq=1 Ack=63 Win=8130 Len=0
206,0.015887,192.168.1.60,192.168.1.10,TCP,60,44818  >  64520 [ACK] Seq=101 Ack=77 Win=8116 Len=0
207,0.016004,192.168.1.60,192.168.1.10,TCP,60,44818  >  64520 [ACK] Seq=101 Ack=147 Win=8046 Len=0
208,0.016032,192.168.1.60,192.168.1.20,CIP,116,'HMI_AIT202' - Service (0x4c)
209,0.016201,192.168.1.20,192.168.1.60,TCP,60,44818  >  54854 [ACK] Seq=1 Ack=63 Win=8130 Len=0
210,0.016229,192.168.1.10,192.168.1.30,CIP,130,'HMI_PLANT_RESET' - Service (0x4d)
211,0.016337,192.168.1.10,192.168.1.30,CIP,124,'HMI_P3_PERMISSIVE' - Service (0x4c)
212,0.016337,192.168.1.30,192.168.1.10,TCP,60,44818  >  64514 [ACK] Seq=233 Ack=279 Win=8116 Len=0
213,0.016427,192.168.1.30,192.168.1.10,TCP,60,44818  >  64514 [ACK] Seq=233 Ack=349 Win=8046 Len=0
214,0.016503,192.168.1.10,192.168.1.40,CIP,130,'HMI_PLANT_RESET' - Service (0x4d)
215,0.016503,192.168.1.40,192.168.1.50,CIP I/O,86,"Connection: ID=0x00975C3D, SEQ=0007666186"
216,0.016653,192.168.1.10,192.168.1.30,CIP CM,136,Unconnected Send: 'HMI_PLANT_AUTO' - Service (0x4d)
217,0.016654,192.168.1.40,192.168.1.10,TCP,60,44818  >  64516 [ACK] Seq=51 Ack=221 Win=8116 Len=0
218,0.016714,192.168.1.30,192.168.1.10,TCP,60,44818  >  64514 [ACK] Seq=233 Ack=431 Win=8110 Len=0
219,0.016918,192.168.1.50,192.168.1.20,CIP,144,Success: 'HMI_AIT501' - Service (0x4c)
220,0.017084,192.168.1.10,239.192.2.63,CIP I/O,98,"Connection: ID=0x00708000, SEQ=0011938369"
221,0.017084,192.168.1.20,192.168.1.30,CIP,104,Success: 'P2_P2078_AUTOINP' - Service (0x4d)
222,0.017085,192.168.1.50,192.168.1.40,CIP,116,Success: 'HMI_MV501' - Service (0x4c)
223,0.017085,192.168.1.20,192.168.1.50,TCP,60,56790  >  44818 [ACK] Seq=311 Ack=541 Win=8102 Len=0
224,0.017192,192.168.1.30,192.168.1.20,TCP,60,56706  >  44818 [ACK] Seq=365 Ack=307 Win=8142 Len=0
225,0.017193,192.168.1.50,192.168.1.40,CIP,116,Success: 'HMI_MV502' - Service (0x4c)
226,0.017196,192.168.1.40,192.168.1.50,TCP,60,55872  >  44818 [ACK] Seq=125 Ack=187 Win=8130 Len=0
227,0.017283,192.168.1.40,192.168.1.50,TCP,60,55872  >  44818 [ACK] Seq=125 Ack=249 Win=8130 Len=0
228,0.0173,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT502' - Service (0x4c)
229,0.017418,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT503' - Service (0x4c)
230,0.017418,192.168.1.50,192.168.1.10,CIP,104,Success: 'HMI_PLANT_AUTO' - Service (0x4d)
231,0.017419,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT504' - Service (0x4c)
232,0.017506,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=541 Ack=373 Win=8130 Len=0
233,0.017507,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=541 Ack=435 Win=8068 Len=0
234,0.017507,192.168.1.10,192.168.1.60,CIP I/O,86,"Connection: ID=0x00D96810, SEQ=0011736617"
235,0.017583,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=541 Ack=497 Win=8006 Len=0
236,0.017584,192.168.1.10,192.168.1.50,TCP,60,64518  >  44818 [ACK] Seq=513 Ack=101 Win=8142 Len=0
237,0.017584,192.168.1.20,192.168.1.10,CIP,104,Success: 'HMI_PLANT_RESET' - Service (0x4d)
238,0.017662,192.168.1.30,192.168.1.10,CIP,104,Success: 'HMI_PLANT_RESET' - Service (0x4d)
239,0.017662,192.168.1.50,192.168.1.10,CIP,104,Success: 'HMI_PLANT_RESET' - Service (0x4d)
